item_code,uom,display_name,display_name_proposed,changed
WEL-ELE-MIG-0.8MM,ROLL,Power MIG 0.8MM 5KGS CO2 MIG Wire,Power MIG 0.8MM 5KGS CO2 MIG Wire,no
WIR-BRC-210X4X8-2.8MM,PCS,210 X 4 X 8 Brc,210 X 4 X 8 Brc,no
CLI-HOS-ORB-3X,PCS,Orbit Hose Clip No : 3X,Orbit Hose Clip No : 3X,no
CUT-SAW-IND-14J,PCS,Sr India Junior Saw 14J,Sr India Junior Saw 14J,no
ELE-CAB-TWI-B/W-MAXWELL,MTR,"Scinet Twin Cable, Blue/white","Scinet Twin Cable, Blue/white",no
ELE-GRW-63A1PMCB,EA,Grow 63A 1P Mcb,Grow 63A 1P Mcb,no
"FAS-SCR-TAP-CSK-8#3/8""-BOX",BOX,8 X3/8 Csk Self Tapping Scrw-flat Head (1000PCS/BOX),8 X3/8 Csk Self Tapping Scrw-flat Head (1000PCS/BOX),no
GAR-SHE-702,PCS,Tiger Pruning Shears Diagonal 702,Tiger Pruning Shears Diagonal 702,no
HOS-CON-ADA-ECO4056,PCS,Ecogreen- Flat Nose Tap Adaptor / 1/2,Ecogreen- Flat Nose Tap Adaptor / 1/2,no
"HOS-FLE-OTO-966-66MB-16""",PCS,Otosani 304 Nut 16 High Pressure Flexible Hose (mb),Otosani 304 Nut 16 High Pressure Flexible Hose (mb),no
HOS-HOL-ECO-EG6038,PCS,Ecogreen- Hose Hanger,Ecogreen- Hose Hanger,no
NAI-CON-ST50,BOX,Concrete NAIL-ST50,Concrete NAIL-ST50,no
ROP-NYL-3MM,COIL,3.0MM Nylon String,3.0MM Nylon String,no
SHH-HOOK-9290BN8,PKT,Sode Hook No. 8(18'S),Sode Hook No. 8(18'S),no
SHH-ROD-TKKT25632S,PCS,"Torikumu Kotai Ii Medium (5'6"")ROD","Torikumu Kotai Ii Medium (5'6"")ROD",no
SWI-T/SOC-FLE-912-3M2G,SET,Fle T/skt Sp TC-2GL-340B 912-3M,Fle T/skt Sp TC-2GL-340B 912-3M,no
TOO-COM-IRO-BUL-25MM,PCS,25MM Iron Bull Spanner,25MM Iron Bull Spanner,no
